entityid,userid,cate1,cate2,cate3,ctime,actiontype,usertag1,usertag2,usertag3,label
155684,1246a32f11f5c106,8512,95,null,1615638072806,KVtagclick,155684,null,null,1
86858,bbb3eeb8216fbede,8512,95,null,1615597645126,KVtagclick,86858,null,null,1
5900,72f2d3dc8fbb82ac,8512,95,null,1615618977382,KVtagclick,5900,null,null,1
155679,42f04a1a2a3fd9ff89a8d3a888a5c5895ea3229d,8512,95,null,1615628208712,KVtagclick,6131,155679,150495,1
150495,42f04a1a2a3fd9ff89a8d3a888a5c5895ea3229d,8512,95,null,1615628185397,KVtagclick,6131,155679,150495,1
20098,865277048179368,26509,609,null,1615592630244,KVtagclick,20098,20097,null,1
24867,904c4a7a3f33803c30fa3ed4e8bf61bd2e2687c7,8512,168,null,1615624753588,KVtagclick,24867,null,null,1
1791,864119043794687,26510,156,null,1615610502894,KVtagclick,1791,null,null,1
150505,867772033068012,8512,95,null,1615643917029,KVtagclick,150505,null,null,1
155679,7cadee09187e4eea,8512,95,null,1615604551955,KVtagclick,155679,null,null,1
86858,5563e072bb03527d,8512,95,null,1615620997426,KVtagclick,86858,null,null,1
528,863667047409273,8512,96,null,1615635880751,KVtagclick,528,null,null,1
86858,5563e072bb03527d,8512,95,null,1615621082550,KVtagclick,86858,null,null,1
150505,0a14217326d60481,8512,95,null,1615591974134,KVtagclick,150505,null,null,1
150522,865701059354974,8512,95,null,1615605516575,KVtagclick,86858,150522,null,1
6131,1b6982e5d7a5fc35,8512,95,null,1615630864412,KVtagclick,6131,null,null,1
5725,c3d9b6a8c72198c46be9fbf52835ee84c6a3cbf1,8512,95,null,1615621962349,KVtagclick,5725,null,null,1
27541,3260800b11713786b82cfa9aa39b9f5f54c7bf76,26510,156,null,1615645081985,KVtagclick,27541,null,null,1
5725,e4f220a78996845c,8512,95,null,1615594655531,KVtagclick,5725,null,null,1
150532,867640045750796,8512,95,null,1615637202535,KVtagclick,150532,null,null,1
150510,e847387223889be87f80f08f223568697a1e4462,8512,95,null,1615591410051,KVtagclick,150510,null,null,1
150510,07eb429b18bc2817,8512,95,null,1615620451640,KVtagclick,150510,null,null,1
150510,862096032033412,8512,95,null,1615585957630,KVtagclick,150510,null,null,1
24751,862492048171413,8512,95,null,1615424990579,KVtagclick,5420,24751,155679,1
25491,81af54187da72e65,26509,611,null,1615436411701,KVtagclick,25491,null,null,1
6445,803157fca3f2e1c0,8512,95,null,1615457555733,KVtagclick,6445,null,null,1
150510,eb30275088ee11e0,8512,95,null,1615456157419,KVtagclick,150510,155684,null,1
24883,57e94a20b16713d2,8512,168,null,1615430125886,KVtagclick,24883,null,null,1
4005,865063047820511,8512,96,null,1615434552972,KVtagclick,4005,null,null,1
86858,866763038082653,8512,95,null,1615438682229,KVtagclick,86858,null,null,1
5900,dbf9af871150f2ea,8512,95,null,1610063006093,KVtagclick,528,5900,null,1
155679,862492048171413,8512,95,null,1615424975822,KVtagclick,5420,24751,155679,1
5740,861334047962130,8512,95,null,1615469804411,KVtagclick,5740,null,null,1
155684,eb30275088ee11e0,8512,95,null,1615456126278,KVtagclick,150510,155684,null,1
24388,97d68c29bf6f2f1c,8512,168,null,1615416259223,KVtagclick,24388,null,null,1
20098,862650049396616,26509,609,null,1615416869074,KVtagclick,20098,null,null,1
155679,a00000a1413087,8512,95,null,1615445625636,KVtagclick,155679,null,null,1
86858,867746040852071,8512,95,null,1615466024231,KVtagclick,86858,null,null,1
41367,6cd81a2720ea0a11,26509,611,null,1615417865228,KVtagclick,41367,null,null,1
106616,869774033278185,26509,611,null,1616071473560,KVtagclick,25490,106616,null,1
150510,867911044484152,8512,95,null,1616033482602,KVtagclick,150510,null,null,1
5900,864769043241962,8512,95,null,1615998906663,KVtagclick,5900,null,null,1
155684,860149040480992,8512,95,null,1616055192429,KVtagclick,155684,null,null,1
528,868072043819218,26510,156,null,1616051553090,KVtagclick,528,null,null,1
25490,869774033278185,26509,611,null,1616070160084,KVtagclick,25490,106616,null,1
25490,869774033278185,26509,611,null,1616070792483,KVtagclick,25490,106616,null,1
5900,864092042874919,8512,95,null,1616058211324,KVtagclick,5900,null,null,1
155684,865385048871635,8512,95,null,1616071024448,KVtagclick,155684,null,null,1
25494,95bcab512bc48699,26509,609,null,1616064703396,KVtagclick,25494,24664,null,1
5725,1de435441860e5b6,8512,95,null,1616035460731,KVtagclick,5725,null,null,1
147191,865063045383017,8512,203,null,1616034994782,KVtagclick,147191,null,null,1
25490,869774033278185,26509,611,null,1616067927186,KVtagclick,25490,106616,null,1
24664,95bcab512bc48699,26509,609,null,1616064655377,KVtagclick,25494,24664,null,1
109655,9e2f3acef8ffa4ee,8512,203,null,1615625411640,KVtagclick,109655,null,null,1
6131,d8fc469724b0373f,8512,95,null,1615649650143,KVtagclick,6131,null,null,1
24751,864286041544933,8512,95,null,1615647940493,KVtagclick,24751,null,null,1
6131,868014038599462,8512,95,null,1615650267976,KVtagclick,6131,null,null,1
150510,869411047871354,8512,95,null,1615569526622,KVtagclick,150510,null,null,1
6131,d8fc469724b0373f,8512,95,null,1615648595693,KVtagclick,6131,null,null,1
155684,869466038110410,8512,95,null,1615589914532,KVtagclick,155684,null,null,1
44562,4ec021b0b7506996,26509,609,null,1615597194525,KVtagclick,27554,44562,null,1
27554,4ec021b0b7506996,26509,234,null,1615596955269,KVtagclick,27554,44562,null,1
147176,866017037703490,8512,96,null,1615602428664,KVtagclick,147176,null,null,1
155625,394d85578efba32d,8512,96,null,1615640064413,KVtagclick,155625,null,null,1
79524,342a0fb2e6ce7c1d,8512,203,null,1615644617338,KVtagclick,79524,null,null,1
20098,d1d10f11908a6123,26509,609,null,1615618408591,KVtagclick,20098,null,null,1
5420,863508039177157,8512,95,null,1615568917915,KVtagclick,5420,null,null,1
155684,3c2bfd2ac817b9a031e7113c008169cc3dddae2d,8512,95,null,1615602095365,KVtagclick,155684,null,null,1
155684,68bb65a45c97c396,8512,95,null,1615647490748,KVtagclick,155684,null,null,1
150510,3e2320c40a8baf0b07beb8ee5b4118637d7b8d0a,8512,95,null,1615622601360,KVtagclick,150510,null,null,1
24750,ab914c5e07c7c8c3e6d54382ebcba6c46db2c559,8512,95,null,1615611284638,KVtagclick,24750,null,null,1
24751,b7c96a395c1133c805f7228e159a025b8dbcd4f6,8512,95,null,1615622485832,KVtagclick,24751,null,null,1
155684,95aaa0b2b4bb418b,8512,95,null,1615591311947,KVtagclick,155684,null,null,1
150510,3e2320c40a8baf0b07beb8ee5b4118637d7b8d0a,8512,95,null,1615622780972,KVtagclick,150510,null,null,1
5420,e51edad5572a9d8ad7431a6ed6c4d7e645e3e6f0,8512,95,null,1615596247077,KVtagclick,5420,null,null,1
106616,a00000d7e12f6b,26509,609,null,1615636842236,KVtagclick,106616,null,null,1
6366,2ba0f5a104dd3ab5ceafb0c1832a832ea063ceea,8512,168,null,1615596799185,KVtagclick,6366,null,null,1
150510,3e2320c40a8baf0b07beb8ee5b4118637d7b8d0a,8512,95,null,1615622878912,KVtagclick,150510,null,null,1
27448,865186042193509,70124,38,null,1615958121139,KVtagclick,27448,null,null,1
40326,ab2dd1872287d3fb,26510,8444,null,1615956035322,KVtagclick,47299,40324,40326,1
47299,ab2dd1872287d3fb,26510,8444,null,1615956013211,KVtagclick,47299,40324,40326,1
40324,ab2dd1872287d3fb,26510,8444,null,1615956039262,KVtagclick,47299,40324,40326,1
47299,ab2dd1872287d3fb,26510,8444,null,1615956053084,KVtagclick,47299,40324,40326,1
46552,866263044920657,832,23004,null,1615996672685,KVtagclick,46552,41155,null,1
46340,866636034576532,26509,35828,null,1615953729796,KVtagclick,133385,46340,null,1
47096,a391351701034a1e,8703,196,null,1615957242966,KVtagclick,47096,null,null,1
29467,869178040238119,70124,38,null,1615988341015,KVtagclick,29467,null,null,1
24331,df2eecac7dbd7441,26508,8537,null,1615942240988,KVtagclick,24331,null,null,1
64446,357755070709991,70124,246,null,1615979144211,KVtagclick,64446,null,null,1
41182,478fe1c0704712e7,70124,246,null,1615987065411,KVtagclick,41182,113215,null,1
30639,868361035919577,8512,8493,null,1615989680268,KVtagclick,30639,null,null,1
28448,82256f8b6fb049e9,8703,15520,null,1615957063542,KVtagclick,28448,null,null,1
20098,861448040130162,26509,26523,null,1615993550020,KVtagclick,20098,null,null,1
113215,3e16fe0d846183d846fb5b2f31ed82cd4ee9d81e,70124,246,null,1615981079694,KVtagclick,113215,null,null,1
32701,4855e7e4abaea4b6,70124,246,null,1615967224662,KVtagclick,32701,null,null,1
24331,df2eecac7dbd7441,26508,8537,null,1615942272567,KVtagclick,24331,null,null,1
46335,869233037702179,8512,102,579,1615948592401,KVtagclick,46335,null,null,1
25428,e1287f19092c33a2e731bc146d6d878a52a4202a,26509,609,null,1616078840784,KVtagclick,25428,null,null,1
86858,2dabf4a0ddefbb34,8512,95,null,1616068934958,KVtagclick,127003,86858,79809,1
636,2c2152fa12f0a96c,8512,96,null,1616051899056,KVtagclick,636,null,null,1
155679,d80b4d50f00a48c47bfca7249cc1095ed9cb6e31,8512,95,null,1616061360723,KVtagclick,155679,null,null,1
5725,862126049730971,8512,95,null,1616070896141,KVtagclick,5725,null,null,1
636,c659b6a1e6008e82d74fa5706b7dbfe3111ef039,8512,96,null,1616038778016,KVtagclick,636,null,null,1
150510,f616243dc1acd7c9147e4ab446dc625c40c877c8,8512,95,null,1616002598842,KVtagclick,150510,null,null,1
150482,e7e44ce9e34c3b8d,8512,95,null,1616071008508,KVtagclick,150482,null,null,1
155686,82d5b1e90744bbe5,8512,95,null,1616050635542,KVtagclick,155686,null,null,1
155684,f09d0c00459c1f67,8512,95,null,1616032909856,KVtagclick,155684,null,null,1
27761,868841048836538,8581,310,null,1616038763729,KVtagclick,27761,null,null,1
5740,863127030544511,8512,95,null,1615610335036,KVtagclick,5740,null,null,1
24750,9f8f50d56398e3fcf3f34ddebf8300fc8748259a,8512,95,null,1615642320601,KVtagclick,24750,86858,5740,1
5740,9f8f50d56398e3fcf3f34ddebf8300fc8748259a,8512,95,null,1615642032824,KVtagclick,24750,86858,5740,1
150505,869613042838417,8512,95,null,1615632466270,KVtagclick,150505,null,null,1
